ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ocupación;Ingresos;¿Cuántas personas viven en su casa, incluido usted?;Café instantáneo;Margarina;Café molido;Carnes frías;Chocolate en pastilla;Calzado Deportivo;Jugos;Aguaembotellada;Gaseosas;Bebidasachocolatadasinstantánea;Ron;Cervezas;Cigarrillos;Aguardiente;Whisky;Vodka;Jabones para el cuerpo;Cremas faciales;Cremas corporales;Jabones faciales;Champú;Cremas de afeitar;Pañales para adultos;Pañales para niños;Tampones;Protectores diarios;Toallas higiénicas;Protector solar;Ropa Casual;Desodorantes;Preservativos;Vehículos;Ropa Deportiva;Calzado Casual;Reproductores de Audio Portátiles (mp3/mp4);Equipos Celulares;Computadores;Siento que la publicidad ha invadido todos mis espacios;Utilizo frases de comerciales para expresarme ;Cuando hay una campaña publicitaria que me llama la atención suelo comentarlo con mis amigos;Creo que la publicidad produce una exageración en el consumo de productos;Creo que la publicidad impone modas;Hay publicidad que me ha cambiado la forma de pensar respecto a situaciones de la vida;Creo que la publicidad impone modelos de belleza ;Creo que cualquier persona puede hacer publicidad ;Suelo cantar las canciones de los comerciales;Confío en lo que las empresas prometen a través de la publicidad.;Si aparece una persona famosa en un comercial, me da más confianza el producto.;Me parece que la publicidad exagera todo.;Cuando me gusta un comercial, me intereso más por el producto que ofrece;Sólo compro productos de marcas que hacen publicidad;La publicidad colombiana no invita a comprar
5793;Ciudad 1;3;61 - 70;Masculino;Casado(a);Primaria;1.   Católico;Con Hijos;4;8.   Pensionado;Menos de  $ 500.000;8;nr;la fina;nr;nr;luker;;hit;;;milo;;aguila;;;oldparr;;palmolive;nr;nr;nr;;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;2;5;2;1;1;2;1;4;5;4;2;1;2;2;5
5794;Ciudad 1;3;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;6;nr;campi;nr;zenu;nr;;hit;;postobon;chocolisto;;;;;;;j&j;nr;nr;nr;;nr;nr;nr;nr;kotex;nosotras;nr;otras;lady speed stick;nr;nr;nr;nr;nr;nr;lg;5;5;1;1;1;1;1;5;1;5;5;1;2;5;1
5795;Ciudad 1;3;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;9.   Se dedica al hogar;Menos de  $ 500.000;7;nr;rama;nr;nr;cruz;;;;postobon;;;;boston;;;;protex;nr;nr;nr;;otras;nr;pequeñin;nr;nosotras;kotex;nr;esprit;arden for men;nr;nr;nr;otras;mp4/mp3;nokia;nr;4;5;1;1;1;5;5;1;1;5;5;5;5;5;1
5796;Ciudad 1;3;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;9.   Se dedica al hogar;No poseo ingresos propios;4;nr;rama;nr;nr;nr;;tuttifrutti;oasis;postobon;15;;aguilalight;;;;;dorado;nr;dove;nr;;nr;nr;nr;ob;nosotras;nr;nr;fruta fresca;dove;nr;renault;adidas;adidas;nr;blackberry;lg;4;5;4;2;2;4;3;2;4;4;4;2;4;4;4
5797;Ciudad 1;3;25 - 34;Femenino;Unión Libre;Pregrado;1.   Católico;Con Hijos;1;5.    Estudia;No poseo ingresos propios;4;la bastilla;rama;nr;zenu;cruz;;delvalle;;postobon;jet;;;;;;;protex;ponds;nr;asepxia;;nr;nr;nr;nr;nosotras;nosotras;nr;nr;rexona;today;nr;ankara;spring step;nr;motorola;sony;4;4;4;1;2;2;2;2;5;4;5;1;4;4;5
5798;Ciudad 1;3;25 - 34;Femenino;Unión Libre;Pregrado;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);$ 1´001.000 -- $ 2,000.000;4;nescafe;rama;nr;nr;luker;;;cristal;;;;;;;;;j&j;42;nr;nr;;nr;nr;nr;nr;nosotras;nr;nr;cocoa republic;yanbal;nr;mazda;nr;otras;nr;sony ericsson;hewlett packard;4;4;4;1;2;4;2;2;4;4;5;2;4;4;5
5799;Ciudad 1;3;25 - 34;Femenino;Viudo(a);Bachillerato;1.   Católico;Con Hijos;1;9.   Se dedica al hogar;$ 501.000 -- $ 1´000.000;2;colcafe;canola;nr;nr;tesalia;;delvalle;cristal;postobon;chocolisto;viejodecaldas;reds;;;oldparr;;palmolive;yanbal;yanbal;nr;;nr;nr;huggies;nr;nosotras;nosotras;sol or;chevignon;avon;today;nr;st even;nike;nr;nokia;nr;4;5;2;4;2;4;2;2;3;5;4;4;4;4;2
5800;Ciudad 1;3;35 - 44;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;4;9.   Se dedica al hogar;No poseo ingresos propios;5;nescafe;rama;la bastilla;zenu;luker;;tuttifrutti;cristal;postobon;16;medellin;aguila;boston;antioqueño;;;palmolive;triple accion;lubriderm;neko;;gillette;nr;pequeñin;nosotras;nosotras;nosotras;sun day;tennis;obao;nr;mazda;tennis;converse;sony;nokia;samsung;5;5;5;1;1;1;1;5;5;5;5;1;5;5;1
5801;Ciudad 1;3;35 - 44;Femenino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;9.   Se dedica al hogar;No poseo ingresos propios;5;la bastilla;rama;la bastilla;zenu;cruz;;tuttifrutti;brisa;postobon;16;medellin;;;antioqueño;;;ertia;nr;multicrem;nr;;nr;nr;nr;nr;nosotras;nosotras;total block;nr;amway;nr;nr;nr;nr;nr;nr;nr;2;5;1;5;1;5;2;2;4;5;5;4;5;5;1
5802;Ciudad 1;3;35 - 44;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;5;nescafe;marcas propias supermercados;colcafe;zenu;luker;;hit;;cocacola;milo;medellin;pielsen;;;;;protex;ponds;lubriderm;neko;;nr;nr;nr;nr;nosotras;nr;total block;nr;lady speed stick;nr;nr;adidas;nr;nr;nr;compaq;1;5;1;1;1;5;1;1;1;5;5;1;1;5;5
5803;Ciudad 1;3;45 - 54;Femenino;Casado(a);Primaria;1.   Católico;Con Hijos;2;9.   Se dedica al hogar;No poseo ingresos propios;4;nescafe;rama;nr;zenu;nr;;;;cocacola;15;;;boston;;;;protex;ponds;j&j;j&j;;nr;nr;nr;nr;nosotras;nosotras;yanbal;nr;lady speed stick;nr;chevrolet;nr;converse;nr;nokia;hewlett packard;3;1;1;1;1;2;1;5;1;5;5;1;5;5;5
